Implemented,study-id,result-id,Coded?,Result description,Relevant claim,Claim in abstract,Research question importance,Location in paper,Region of qualitative similarity,Individual-level,Population variable,Estimation method,Design,Stata cmd,Time index,Geographic index,Other indices,Notes
1,anderson-2014,all3-arrests,1,Effect of dropout age req on male arrest rates for all crimes,The evidence suggests that minimum dropout age requirements have a significant and negative effect on property and violent crime arrest rates for individuals 16 to 18 years,1,Co-primary,"Table 4, column 3, coeffs on Males MDA18 x age16to18","Negative, significant at 10% or lower",,county_pop,FE,DDD,xtreg,Year,U.S. county,Age group,
1,anderson-2014,property3-arrests,1,Effect of dropout age req on male arrest rates for property crimes,The evidence suggests that minimum dropout age requirements have a significant and negative effect on property and violent crime arrest rates for individuals 16 to 18 years,1,Co-primary,"Table 4, column 6, coeffs on Males MDA18 x age16to18","Negative, significant at 10% or lower",,county_pop,FE,DDD,xtreg,Year,U.S. county,Age group,
1,anderson-2014,violent3-arrests,1,Effect of dropout age req on male arrest rates for violent crimes,The evidence suggests that minimum dropout age requirements have a significant and negative effect on property and violent crime arrest rates for individuals 16 to 18 years,1,Co-primary,"Table 4, column 9, coeffs on Males MDA18 x age16to22","Negative, significant at 10% or lower",,county_pop,FE,DDD,xtreg,Year,U.S. county,Age group,
1,autor-2013,d_tradeusch_pw-empl,1,Effect of imports on employment,"In our main specification, import competition explains one-quarter of the contemporaneous aggregate decline in US manufacturing employment",1,Primary,"Table 3, column 6, coeff on delta imports","Negative sign, statistical significance",,l_popcount,2SLS,IV,ivregress,Year,U.S. Commuting Zone,Industry,
1,bell-2022,reform-arrestrate1518,1,Effect of age on arrest rate discontinuity,"Nonetheless, across all the reported specifications, dynamic incapacitation is a significant portion of the longer-run crime-reducing effect of education. Depending on the exact specification used, it explains between 51% and 84% of the crime reduction among 19–24-year-olds.",1,Primary,"Table 3, Panel B, column 1, coeff on Reform x age 15-18","Negative, smaller than B19-24",,population_est_cell,FE,RD,reghdfe,Year,U.S. county,Age group,
1,bell-2022,reform-arrestrate1924,1,Effect of age on arrest rate discontinuity,"Nonetheless, across all the reported specifications, dynamic incapacitation is a significant portion of the longer-run crime-reducing effect of education. Depending on the exact specification used, it explains between 51% and 84% of the crime reduction among 19–24-year-olds.",1,Primary,"Table 3, Panel B, column 1, coeff on Reform x age 19-24","Negative, greater than B15-18",,population_est_cell,FE,RD,reghdfe,Year,U.S. county,Age group,
1,cascio-2010,arhisesl_sdf-ivvar3a1_b,1,Difference in departures of non-Hisp children compared to non-Hisp adults, ,1,Primary,"Table 4, column 1, Panel A, coeff on delta school enrollment","Negative, significant",,for_mex1970,2SLS,IV,ivreg,,U.S. school district,Age group,
1,charles-2019,gov_d_lper_earn-turnout,1,Effect of local wages on Governor turnout,"find that higher local wages and employment lower turnout in elections for governor , senator , US Congress and state House of Representatives , but have no effect on presidential turnout.",1,Co-primary,"Table 4, column 2, coeff on earnings","Negative, significant",,pop,2SLS,IV,ivregress,4 years,U.S. county,,
1,charles-2019,sen6_d_lper_earn-turnout,1,Effect of local wages on Senate turnout,"find that higher local wages and employment lower turnout in elections for governor , senator , US Congress and state House of Representatives , but have no effect on presidential turnout.",1,Co-primary,"Table 4, column 4, coeff on earnings","Negative, significant",,pop,2SLS,IV,ivregress,6 years,U.S. county,,
1,charles-2019,pres_d_lper_earn-turnout,1,Effect of local wages on President turnout,"find that higher local wages and employment lower turnout in elections for governor , senator , US Congress and state House of Representatives , but have no effect on presidential turnout.",1,Co-primary,"Table 4, column 6, coeff on earnings",Insignificant,,pop,2SLS,IV,ivregress,4 years,U.S. county,,
